text,label
etsy phx tx,shopping
airbnb station num houston tx num pay,other
etsy market,shopping
blue apron hub num chicago aus num mobile,dining
home depot outlet num ny ny num,shopping
kfc market num,dining
costa coffee depot num austin num tx num,dining
amazon center num miami tx num,shopping
gas company station num b oston bos num,utilities
whole foods cafe market num austin pos num mobile,dining
mobil num tx num auto,fuel
netflix center num denver num,other
publix chi num auto,groceries
airbnb station num houston aus tx,other
kroger sea tx,groceries
whole foods cafe pos num,dining
blue apron market num la market,dining
southern electric branch num seattle station num,utilities
lidl hub num boston pos num,groceries
texaco store num chicago mia tx,fuel
blue apron depot num chicago num tx num cr,dining
mobil branch num astin sea tx,fuel
apple itunes tx num,other
google play sore,other
7 eleven fuel market num boston num,fuel
ikea store num ny tx num,shopping
internet provider hou tx pay,utilities
etsy sea num,shopping
home depot store num la pos num payment,shopping
stripe ny num,other
kroger store 48 chicago center num,groceries
heb depot 7 austin la num,groceries
cafe nero outlet num ny num tx num,dining
lidl market num denver num tx num,groceries
starbucks market num chicago ny tx,dining
pizza hut center num miami num tx num,dining
amazon market 3 chicago station,shopping
publix hou num db,groceries
bestbuy depot num boston chi num,shopping
blue aprno outlet num chicago phx num,dining
trader joe s outlet num ny la num,groceries
sunoco hub num austin ny tx payment,fuel
heb market num phoenix market,groceries
spotify station 47 chicago market num,other
comcast pos num,utilities
target outlet num la hq db,shopping
chipotle station num la chi tx db,dining
gas company branch num houston mia num,utilities
whole foods cafe tx num db,dining
ikea tx num,shopping
kroger depot num la hq num,groceries
circle k tx num,fuel
sunoco den tx,fuel
blue apron store num la num tx num,dining
internet provider center num denver tx num ebill,utilities
southern elecrtic branch num seattle aus tx cr,utilities
chipotle num,dining
comcast station num miami outlet,utilities
7 eleven fuel market num boston den tx,fuel
gas company branch num houston branch,utilities
gas company branch num denver pos num db,utilities
lidl branch num ouston ny num,groceries
sunoco branch num austin pos num,fuel
blue apron num payment,dining
mobil center num houston market,fuel
cafe nero station num boston la num,dining
lidl store num austin branch num,groceries
energyco store num,utilities
mobil retail num miami aus tx,fuel
internet provider station num la center online,utilities
airbnb station num houston station ebill,other
southern electric market num la center,utilities
spotify center num seattle market num pos,other
kroger hub num phoenix phx num pay,groceries
walmart retail 66 houston num tx num cr,shopping
costa coffee branch num seattle hq,dining
macy s store num denver station,shopping
cafe nero tx num,dining
steam depot num seattle mia num,other
kroger depot num la branch,groceries
macy s depot num phoenix num,shopping
walmart grocery station num phoenix pos num ebill,groceries
internet provider station num seattle tx num,utilities
dukin outlet num austin tx num auto,dining
amazon outlet num houston center num,shopping
internet provider center num denver tx num payment,utilities
walmart center num austin hq online,shopping
bp center num phoenix bos tx,fuel
mobil center num dnever station,fuel
circle k retail num austin num tx num auto,fuel
energyco center num ny bos num mobile,utilities
uber num,other
google play den tx,other
bp center num phoenix outlet num,fuel
whole foods cafe market num austin tx num auto,dining
sunoco hub 9 phoenix pos num pay,fuel
bp depot num ny aus tx,fuel
pizza hut branch num boston tx num,dining
whole foods market center num seattle aus num,groceries
starbucks la num,dining
amazon pos num,shopping
netflix market num phoenix sea tx,other
lyft depot 76 austin hq num,other
circle k hub num miami store num,fuel
ikea hub num denver num tx num,shopping
cafe nero la num,dining
safeway branch num boston pos num mobile,groceries
at t outlet num seattle store num,utilities
circle k station num chicago aus num,fuel
publix branch num denver tx num,groceries
safeway bos num,groceries
lidl branch num austin ny tx,groceries
walmart market num ny bos num db,shopping
internet provider retail num la outlet num db,utilities
publix branch num denver outlet,groceries
lyft market num boston tx num,other
bp depot num ny center,fuel
circle k station num houston bos tx,fuel
bestbuy depot num boston hq num,shopping
uber la num payment,other
netflix station num phoenix branch num pos,other
macy s station num chicago mia tx db,shopping
netflix center num denver den num,other
amazon outlet num boston hq,shopping
national grid center num ny branch,utilities
home depot depot num chicago num,shopping
chevron pos num,fuel
uber station num houston tx num cr,other
internet provider store num houston num,utilities
cafe nero station num ny den tx cr,dining
home depot depot num chicago chi tx,shopping
lyft branch num boston pos num,other
target depot num chicago num db,shopping
southern electric num,utilities
at t outlet num seattle chi tx auto,utilities
exxon store num boston num ebill,fuel
costco wholesale hub num la den tx,shopping
internet provider depot num denver pos num,utilities
at t outlet 51 9seattle num,utilities
lyft retail num chicago aus num,other
home depot depot num chicago mia tx,shopping
lyft depot 76 austin bos tx,other
energyco outlet num ny pos num,utilities
energyco branch num la pos num pos,utilities
costco wholesale pos num auto,shopping
bestbuy depot num phoenix la tx,shopping
kroger hub num phoenix num,groceries
arco center,fuel
dunkin outlet num austin station num,dining
national grid tx num,utilities
chipotle retail num ny store num,dining
aldi tx num,groceries
cafe nero hub num phoenix outlet num pos,dining
kroger outlet num dever sea num,groceries
safeway station num houston num,groceries
cafe nero hub num phoenix station,dining
stop shop station num denver center,groceries
walmart hq,shopping
city electric co station num la den num,utilities
costco wholesale hub num boston station num,shopping
exxon market num la tx num online,fuel
dunkin bos num,dining
lidl branch num houston mia tx,groceries
uber station num boston phx num,other
circle k hub num miami num pos,fuel
internet provider retail num la num tx num pay,utilities
city electric o center num cr,utilities
home depot store num la num,shopping
kfc tx num,dining
chevron store num houston branch num,fuel
lidl hub num seattle center num,groceries
macy s depot num phoenix pos num,shopping
bp depot num ny num,fuel
comcast outlet num miami num tx num,utilities
kroger outlet num denver tx num,groceries
nordstrom outlet num la branch num,shopping
energyco depot num houston phx tx,utilities
walmart retail 66 houston tx num,shopping
trader joe s outlet num houston num ebill,groceries
steam retail num miami hou num,other
macy s station,shopping
blue apron depot num chicago station num,dining
city electric co retail 88 boston station num,utilities
heb depot 7 austin num tx num,groceries
energyco center num ny num,utilities
nordstrom outlet num la tx num,shopping
walmart grocery store num austin pos num,groceries
macy s depot num boston ny num,shopping
exxon store num boston bos num pay,fuel
cafe nero station num boston la tx,dining
home depot station num houston tx num,shopping
lyft retail num boston la num,other
7 eleven fuel market num boston market num,fuel
at t num,utilities
mobil center num denver pos num,fuel
walmart retail 66 houston station,shopping
comcast store num la phx tx,utilities
dunkin store num denver market,dining
7 eleven fuel market 75 boston num pos,fuel
internet provider retail num la tx num mobile,utilities
chevron store num houston pos num ebill,fuel
texaco branch num ny num db,fuel
at t outlet num seattle bos tx,utilities
verizon pos num,utilities
steam outlet num phoenix la num,other
airbnb sea tx,other
ikea hub num ny tx num,shopping
water works ltd retail num miami tx num,utilities
walmart station num,shopping
exxon num tx num,fuel
water works ltd store num denver pos num online,utilities
comcast outlet num miami branch num,utilities
cafe nero branch num miami tx num,dining
amazon hub 63 miami pos num mobile,shopping
internet provider station num seattle aus tx,utilities
verizon market num ny num,utilities
lidl market 7 14 seattle store num payment,groceries
macy s depot num phoenix hq db,shopping
macy s station num chicago outlet num,shopping
kfc station num boston center num,dining
national grid num pay,utilities
city electric co market num phoenix store num,utilities
spotify depot num austin num,other
city electric co retail 88 boston hq,utilities
lyft market num boston ny tx,other
water works ltd tx num,utilities
energyco depot num houston pos num,utilities
trader joe s outlet num ny den tx db,groceries
texaco store 4 phoenix tx num payment,fuel
spotify market num seattle pos num,other
steam depot num seattle hq pay,other
costa coffee ny tx,dining
aldi outlet 42 boston chi tx,groceries
pizza hut depot num ny la num,dining
walmart grocery station num phoenix outlet num cr,groceries
mobil center num houston num pay,fuel
circle k retail num la chi num,fuel
uber tx num,other
netflix market num phoenix store num cr,other
veriozn hq num,utilities
kroger depot 80 phoenix station num,groceries
nordstrom store 73 houston den tx pos,shopping
internet provider center payment,utilities
costco wholesale market num houston tx num,shopping
blue apron outlet num phoenix num cr,dining
amazon outlet num boston tx num pay,shopping
pizza hutretail num boston store,dining
amazon center num miami num cr,shopping
starbucks aus tx,dining
kroger num online,groceries
trader joe s outlet num,groceries
uber depot num phoenix market pay,other
comcast station num miami sea tx,utilities
sunoco hub 9 phoenix num tx num,fuel
aldi market num phoenix store payment,groceries
exxon outlet num phoenix pos num,fuel
steam outlet num phoenix station,other
stripe retail num phoenix station num,other
heb market num phoenix bos tx,groceries
pizza hut branch num boston la num,dining
chevron sea num,fuel
texaco branch num ny station,fuel
internet provider store num houston outlet num,utilities
stop shop retail num dnever tx num,groceries
uber station num boston pos num,other
paypal mia num,other
heb mia num,groceries
spotify station 47 chicago bos num,other
trader joe s outlet num houston station num,groceries
southern electric branch num seattle center num,utilities
shell outlet num la num tx num,fuel
energyco center num phoenix la tx pay,utilities
kfc station num boston pos num,dining
blue apron center num chicago num,dining
pizza hut retail num chicago branch,dining
national grid depot num denver branch pos,utilities
lidl hub num boston branch num mobile,groceries
blue apron market num boston mia tx,dining
steam depot num phoenix bos num,other
bp branch num boston station num,fuel
netflix ny tx,other
steam tx num,other
national grid depot num denver store num,utilities
lidl market num denver mia tx,groceries
lidl hub num boston tx num,groceries
bp center num,fuel
energyco center num ny tx num payment,utilities
texaco pos num auto,fuel
paypal station,other
bestbuy hou tx,shopping
stop shop num tx num ebill,groceries
arco outlet num la pos num,fuel
stripe retail num phoenix sea num db,other
walmart market,shopping
uber station num miami hq num,other
burger king depot num miami center num,dining
lidl retail num ny bos num,groceries
walmart center num austin center num,shopping
kfc hou num,dining
water works ltd store num ny outlet mobile,utilities
sunoco branch num austin branch db,fuel
stop shop outlet num chicago outlet num db,groceries
lidl hub num seattle num,groceries
kroger depot 80 phoenix market d,groceries
nordstrom outlet num la num,shopping
trader joe s outlet num houston num cr,groceries
lyft market num boston num db,other
arco outlet num la num tx num,fuel
mobil center num houston mia tx db,fuel
netflix market num pohenix tx num,other
apple itunes outlet num denver pos num,other
spotify branch 3 la la num,other
whole foods cafe market num austin mia tx,dining
steam station num boston branch num,other
pizza hut retail num chicago num tx num mobile,dining
walmart retail 66 houston bos num,shopping
lidl market num seattle aus num auto,groceries
city electric co retail 88 boston tx num db,utilities
lidl hub num seattle center payment,groceries
exxon la tx auto,fuel
costa coffee station num miami outlet num ebill,dining
gas company tx num,utilities
exxon market num la branch,fuel
exxon store num boston outlet num,fuel
at t outlet num seattle chi num,utilities
uber station num miami store num pay,other
heb pos num auto,groceries
circle k station num houston branch online,fuel
exxon market num la pos num,fuel
trader joe s pos num payment,groceries
verizon branch num denver aus num db,utilities
amazon hub 63 miami pos num,shopping
mobil branch num austin num tx num db,fuel
7 eleven fuel station num seattle num,fuel
airbnb chi num,other
stop shop hub num boston outlet,groceries
at t chi num,utilities
stripe retail num phoenix hq mobile,other
blue apron store num la num tx num pos,dining
shell la num,fuel
stop shop branch num,groceries
amazon market 3 chicago pos num,shopping
walmart num,shopping
gas company station num boston center,utilities
publix center 96 miami num,groceries
safeway branch num boston den tx online,groceries
chipotle retail num ny num,dining
amazon outlet num seattle den num,shopping
netflix market num phoenix outlet,other
target depot num chicago center payment,shopping
kfc num tx num,dining
paypal store num phoenix phx tx auto,other
internet provider num tx num payment,utilities
lyft branch num boston num tx num db,other
internet provider station num la tx num,utilities
pizza hut branch num boston market online,dining
mobil depot num chicago num,fuel
at t market num phoenix num,utilities
gas company branch num denver tx num,utilities
pizza hut branch num boston pos num,dining
home depot outlet num ny center auto,shopping
walmart market num ny tx num,shopping
national grid depot num denver pos num,utilities
wlmart grocery mia num pay,groceries
lidl market num seattle num tx num,groceries
amazon market 3 chicago tx num,shopping
dunkin outlet num austin store pay,dining
cafe nero outlet num austin station,dining
uber station num chicago store online,other
sunoco hub num austin phx tx,fuel
exxon sea num ebill,fuel
walmart ny tx,shopping
lidl store num austin num tx num online,groceries
macy s depot num phoenix outlet,shopping
etsy pos num pos,shopping
safeway branch num boston pos num,groceries
costco wholesale hq pos,shopping
home depot station num houston store ebill,shopping
publix center 96 miami store num,groceries
stop shop outlet num chicago store num,groceries
kfc store num miami num tx num,dining
heb market num phoenix phx tx,groceries
amazon market 3 chicago num tx num,shopping
verizon branch num denver mia num,utilities
publix branch num denver branch,groceries
7 eleven fuel store 95 phoenix hou num,fuel
blue apron outlet num chicago num,dining
aldi station,groceries
circle k hub num miami mia tx pos,fuel
cafe nero hub num phoenix den num pos,dining
circle k hub num miami pos num ebill,fuel
walmart la tx,shopping
nordstrom retail num austin hq,shopping
water works ltd retail num miamip os num,utilities
bp depot num ny num tx num online,fuel
chevron store num houston tx num mobile,fuel
bestbuy den num payment,shopping
dunkin num tx num auto,dining
whole foods market hub num phoenix hou tx cr,groceries
comcast outlet num miami num tx num ebill,utilities
paypal tx num,other
internet provider depot num austin hq num,utilities
costco wholesale market num houston den num,shopping
cafe nero station num ny pos num,dining
amazon hub 63 miami mia tx,shopping
city elecrtic co station num la ny num,utilities
arco store num phoenix hou tx cr,fuel
at t depot num chicago num tx num,utilities
home depot store num la market num,shopping
trader joe s ou tx,groceries
pizza hut store num boston market num online,dining
chevron center num la store,fuel
pizza hut branch num boston aus num ebill,dining
