transaction,merchant,amount,label
ETSY PHX TX,,,shopping
Airbnb Station #<NUM> Houston Tx<NUM> PAY,,,other
etsy - market,,,shopping
BLUE APRON HUB #<NUM> CHICAGO AUS <NUM> MOBILE,,,dining
Home Depot Outlet #<NUM> Ny Ny <NUM>,,,shopping
kfc market #<NUM>,,,dining
costa coffee depot #<NUM> austin <NUM> tx<NUM>,,,dining
Amazon Center #<NUM> Miami Tx<NUM>,,,shopping
Gas Company Station #<NUM>B oston Bos <NUM>,,,utilities
Whole Foods Cafe Market #<NUM> Austin Pos <NUM> MOBILE,,,dining
mobil <NUM> tx<NUM> AUTO,,,fuel
Netflix Center #<NUM> Denver <NUM>,,,other
Publix Chi <NUM> AUTO,,,groceries
Airbnb Station #<NUM> Houston Aus Tx,,,other
Kroger Sea Tx,,,groceries
WHOLE FOODS CAFE POS <NUM>,,,dining
BLUE APRON MARKET #<NUM> LA - MARKET,,,dining
southern electric branch #<NUM> seattle station #<NUM>,,,utilities
lidl hub #<NUM> boston pos <NUM>,,,groceries
texaco store #<NUM> chicago mia tx,,,fuel
blue apron depot #<NUM> chicago <NUM> tx<NUM> CR,,,dining
Mobil Branch #<NUM> Astin Sea Tx,,,fuel
apple itunes tx<NUM>,,,other
Google Play - Sore,,,other
7-Eleven Fuel Market #<NUM> Boston <NUM>,,,fuel
ikea store #<NUM> ny tx<NUM>,,,shopping
internet provider hou tx PAY,,,utilities
Etsy Sea <NUM>,,,shopping
HOME DEPOT STORE #<NUM> LA POS <NUM> PAYMENT,,,shopping
Stripe Ny <NUM>,,,other
kroger store #48 chicago center #<NUM>,,,groceries
Heb Depot #7 Austin La <NUM>,,,groceries
CAFE NERO OUTLET #<NUM> NY <NUM> TX<NUM>,,,dining
Lidl Market #<NUM> Denver <NUM> Tx<NUM>,,,groceries
Starbucks Market #<NUM> Chicago Ny Tx,,,dining
pizza hut center #<NUM> miami <NUM> tx<NUM>,,,dining
AMAZON MARKET #3 CHICAGO - STATION,,,shopping
PUBLIX HOU <NUM> DB,,,groceries
BESTBUY DEPOT #<NUM> BOSTON CHI <NUM>,,,shopping
BLUE APRNO OUTLET #<NUM> CHICAGO PHX <NUM>,,,dining
trader joe's outlet #<NUM> ny la <NUM>,,,groceries
sunoco hub #<NUM> austin ny tx PAYMENT,,,fuel
Heb Market #<NUM> Phoenix - Market,,,groceries
Spotify Station #47 Chicago Market #<NUM>,,,other
COMCAST POS <NUM>,,,utilities
TARGET OUTLET #<NUM> LA - HQ DB,,,shopping
CHIPOTLE STATION #<NUM> LA CHI TX DB,,,dining
GAS COMPANY BRANCH #<NUM> HOUSTON MIA <NUM>,,,utilities
Whole Foods Cafe Tx<NUM> DB,,,dining
IKEA TX<NUM>,,,shopping
Kroger Depot #<NUM> La Hq #<NUM>,,,groceries
CIRCLE K TX<NUM>,,,fuel
Sunoco Den Tx,,,fuel
Blue Apron Store #<NUM> La <NUM> Tx<NUM>,,,dining
Internet Provider Center #<NUM> Denver Tx<NUM> EBILL,,,utilities
southern elecrtic branch #<NUM> seattle aus tx CR,,,utilities
CHIPOTLE <NUM>,,,dining
comcast station #<NUM> miami - outlet,,,utilities
7-Eleven Fuel Market #<NUM> Boston Den Tx,,,fuel
GAS COMPANY BRANCH #<NUM> HOUSTON - BRANCH,,,utilities
gas company branch #<NUM> denver pos <NUM> DB,,,utilities
Lidl Branch #<NUM> ouston Ny <NUM>,,,groceries
SUNOCO BRANCH #<NUM> AUSTIN POS <NUM>,,,fuel
blue apron <NUM> PAYMENT,,,dining
mobil center #<NUM> houston - market,,,fuel
Cafe Nero Station #<NUM> Boston La <NUM>,,,dining
LIDL STORE #<NUM> AUSTIN BRANCH #<NUM>,,,groceries
ENERGYCO STORE #<NUM>,,,utilities
Mobil Retail #<NUM> Miami Aus Tx,,,fuel
internet provider station #<NUM> la - center ONLINE,,,utilities
AIRBNB STATION #<NUM> HOUSTON - STATION EBILL,,,other
SOUTHERN ELECTRIC MARKET #<NUM> LA - CENTER,,,utilities
SPOTIFY CENTER #<NUM> SEATTLE MARKET #<NUM> POS,,,other
Kroger Hub #<NUM> Phoenix Phx <NUM> PAY,,,groceries
WALMART RETAIL #66 HOUSTON <NUM> TX<NUM> CR,,,shopping
COSTA COFFEE BRANCH #<NUM> SEATTLE - HQ,,,dining
Macy'S Store #<NUM> Denver - Station,,,shopping
cafe nero tx<NUM>,,,dining
Steam Depot #<NUM> Seattle Mia <NUM>,,,other
KROGER DEPOT #<NUM> LA - BRANCH,,,groceries
Macy'S Depot #<NUM> Phoenix <NUM>,,,shopping
Walmart Grocery Station #<NUM> Phoenix Pos <NUM> EBILL,,,groceries
Internet Provider Station #<NUM> Seattle Tx<NUM>,,,utilities
DUKIN' OUTLET #<NUM> AUSTIN TX<NUM> AUTO,,,dining
AMAZON OUTLET #<NUM> HOUSTON CENTER #<NUM>,,,shopping
internet provider center #<NUM> denver tx<NUM> PAYMENT,,,utilities
Walmart Center #<NUM> Austin - Hq ONLINE,,,shopping
Bp Center #<NUM> Phoenix Bos Tx,,,fuel
Mobil Center #<NUM> Dnever - Station,,,fuel
CIRCLE K RETAIL #<NUM> AUSTIN <NUM> TX<NUM> AUTO,,,fuel
Energyco Center #<NUM> Ny Bos <NUM> MOBILE,,,utilities
uber <NUM>,,,other
GOOGLE PLAY DEN TX,,,other
BP CENTER #<NUM> PHOENIX OUTLET #<NUM>,,,fuel
Whole Foods Cafe Market #<NUM> Austin Tx<NUM> AUTO,,,dining
Sunoco Hub #9 Phoenix Pos <NUM> PAY,,,fuel
BP DEPOT #<NUM> NY AUS TX,,,fuel
PIZZA HUT BRANCH #<NUM> BOSTON TX<NUM>,,,dining
Whole Foods Market Center #<NUM> Seattle Aus <NUM>,,,groceries
STARBUCKS LA <NUM>,,,dining
Amazon Pos <NUM>,,,shopping
Netflix Market #<NUM> Phoenix Sea Tx,,,other
Lyft Depot #76 Austin Hq #<NUM>,,,other
circle k hub #<NUM> miami store #<NUM>,,,fuel
Ikea Hub #<NUM> Denver <NUM> Tx<NUM>,,,shopping
CAFE NERO LA <NUM>,,,dining
Safeway Branch #<NUM> Boston Pos <NUM> MOBILE,,,groceries
at&t outlet #<NUM> seattle store #<NUM>,,,utilities
Circle K Station #<NUM> Chicago Aus <NUM>,,,fuel
PUBLIX BRANCH #<NUM> DENVER TX<NUM>,,,groceries
safeway bos <NUM>,,,groceries
LIDL BRANCH #<NUM> AUSTIN NY TX,,,groceries
walmart market #<NUM> ny bos <NUM> DB,,,shopping
Internet Provider Retail #<NUM> La Outlet #<NUM> DB,,,utilities
Publix Branch #<NUM> Denver - Outlet,,,groceries
Lyft Market #<NUM> Boston Tx<NUM>,,,other
BP DEPOT #<NUM> NY - CENTER,,,fuel
CIRCLE K STATION #<NUM> HOUSTON BOS TX,,,fuel
bestbuy depot #<NUM> boston hq #<NUM>,,,shopping
UBER LA <NUM> PAYMENT,,,other
Netflix Station #<NUM> Phoenix Branch #<NUM> POS,,,other
Macy'S Station #<NUM> Chicago Mia Tx DB,,,shopping
Netflix Center #<NUM> Denver Den <NUM>,,,other
Amazon Outlet #<NUM> Boston - Hq,,,shopping
NATIONAL GRID CENTER #<NUM> NY - BRANCH,,,utilities
HOME DEPOT DEPOT #<NUM> CHICAGO <NUM>,,,shopping
chevron pos <NUM>,,,fuel
Uber Station #<NUM> Houston Tx<NUM> CR,,,other
Internet Provider Store #<NUM> Houston <NUM>,,,utilities
CAFE NERO STATION #<NUM> NY DEN TX CR,,,dining
home depot depot #<NUM> chicago chi tx,,,shopping
lyft branch #<NUM> boston pos <NUM>,,,other
target depot #<NUM> chicago <NUM> DB,,,shopping
SOUTHERN ELECTRIC <NUM>,,,utilities
AT&T OUTLET #<NUM> SEATTLE CHI TX AUTO,,,utilities
exxon store #<NUM> boston <NUM> EBILL,,,fuel
COSTCO WHOLESALE HUB #<NUM> LA DEN TX,,,shopping
internet provider depot #<NUM> denver pos <NUM>,,,utilities
AT&T OUTLET #51 9SEATTLE <NUM>,,,utilities
lyft retail #<NUM> chicago aus <NUM>,,,other
HOME DEPOT DEPOT #<NUM> CHICAGO MIA TX,,,shopping
lyft depot #76 austin bos tx,,,other
ENERGYCO OUTLET #<NUM> NY POS <NUM>,,,utilities
energyco branch #<NUM> la pos <NUM> POS,,,utilities
Costco Wholesale Pos <NUM> AUTO,,,shopping
Bestbuy Depot #<NUM> Phoenix La Tx,,,shopping
Kroger Hub #<NUM> Phoenix <NUM>,,,groceries
ARCO - CENTER,,,fuel
DUNKIN' OUTLET #<NUM> AUSTIN STATION #<NUM>,,,dining
national grid tx<NUM>,,,utilities
Chipotle Retail #<NUM> Ny Store #<NUM>,,,dining
Aldi Tx<NUM>,,,groceries
CAFE NERO HUB #<NUM> PHOENIX OUTLET #<NUM> POS,,,dining
KROGER OUTLET #<NUM> DEVER SEA <NUM>,,,groceries
Safeway Station #<NUM> Houston <NUM>,,,groceries
Cafe Nero Hub #<NUM> Phoenix - Station,,,dining
STOP & SHOP STATION #<NUM> DENVER - CENTER,,,groceries
WALMART - HQ,,,shopping
City Electric Co Station #<NUM> La Den <NUM>,,,utilities
COSTCO WHOLESALE HUB #<NUM> BOSTON STATION #<NUM>,,,shopping
Exxon Market #<NUM> La Tx<NUM> ONLINE,,,fuel
Dunkin' Bos <NUM>,,,dining
Lidl Branch #<NUM> Houston Mia Tx,,,groceries
uber station #<NUM> boston phx <NUM>,,,other
CIRCLE K HUB #<NUM> MIAMI <NUM> POS,,,fuel
Internet Provider Retail #<NUM> La <NUM> Tx<NUM> PAY,,,utilities
city electric o center #<NUM> CR,,,utilities
HOME DEPOT STORE #<NUM> LA <NUM>,,,shopping
Kfc Tx<NUM>,,,dining
chevron store #<NUM> houston branch #<NUM>,,,fuel
Lidl Hub #<NUM> Seattle Center #<NUM>,,,groceries
Macy'S Depot #<NUM> Phoenix Pos <NUM>,,,shopping
Bp Depot #<NUM> Ny <NUM>,,,fuel
COMCAST OUTLET #<NUM> MIAMI <NUM> TX<NUM>,,,utilities
Kroger Outlet #<NUM> Denver Tx<NUM>,,,groceries
Nordstrom Outlet #<NUM> La Branch #<NUM>,,,shopping
energyco depot #<NUM> houston phx tx,,,utilities
walmart retail #66 houston tx<NUM>,,,shopping
trader joe's outlet #<NUM> houston <NUM> EBILL,,,groceries
steam retail #<NUM> miami hou <NUM>,,,other
macy's - station,,,shopping
BLUE APRON DEPOT #<NUM> CHICAGO STATION #<NUM>,,,dining
City Electric Co Retail #88 Boston Station #<NUM>,,,utilities
Heb Depot #7 Austin <NUM> Tx<NUM>,,,groceries
energyco center #<NUM> ny <NUM>,,,utilities
Nordstrom Outlet #<NUM> La Tx<NUM>,,,shopping
Walmart Grocery Store #<NUM> Austin Pos <NUM>,,,groceries
Macy'S Depot #<NUM> Boston Ny <NUM>,,,shopping
EXXON STORE #<NUM> BOSTON BOS <NUM> PAY,,,fuel
cafe nero station #<NUM> boston la tx,,,dining
Home Depot Station #<NUM> Houston Tx<NUM>,,,shopping
Lyft Retail #<NUM> Boston La <NUM>,,,other
7-ELEVEN FUEL MARKET #<NUM> BOSTON MARKET #<NUM>,,,fuel
At&T <NUM>,,,utilities
Mobil Center #<NUM> Denver Pos <NUM>,,,fuel
Walmart Retail #66 Houston - Station,,,shopping
Comcast Store #<NUM> La Phx Tx,,,utilities
Dunkin' Store #<NUM> Denver - Market,,,dining
7-ELEVEN FUEL MARKET #75 BOSTON <NUM> POS,,,fuel
INTERNET PROVIDER RETAIL #<NUM> LA TX<NUM> MOBILE,,,utilities
Chevron Store #<NUM> Houston Pos <NUM> EBILL,,,fuel
TEXACO BRANCH #<NUM> NY <NUM> DB,,,fuel
At&T Outlet #<NUM> Seattle Bos Tx,,,utilities
Verizon Pos <NUM>,,,utilities
STEAM OUTLET #<NUM> PHOENIX LA <NUM>,,,other
Airbnb Sea Tx,,,other
Ikea Hub #<NUM> Ny Tx<NUM>,,,shopping
Water Works Ltd Retail #<NUM> Miami Tx<NUM>,,,utilities
Walmart Station #<NUM>,,,shopping
EXXON <NUM> TX<NUM>,,,fuel
water works ltd store #<NUM> denver pos <NUM> ONLINE,,,utilities
Comcast Outlet #<NUM> Miami Branch #<NUM>,,,utilities
CAFE NERO BRANCH #<NUM> MIAMI TX<NUM>,,,dining
Amazon Hub #63 Miami Pos <NUM> MOBILE,,,shopping
INTERNET PROVIDER STATION #<NUM> SEATTLE AUS TX,,,utilities
verizon market #<NUM> ny <NUM>,,,utilities
Lidl Market 7#14 Seattle Store #<NUM> PAYMENT,,,groceries
MACY'S DEPOT #<NUM> PHOENIX - HQ DB,,,shopping
